route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
604_803_BXBN_252,604,803,Trosabussen,,3,http://www.ResRobot.se,,
267_302_BLT,267,302,,,3,http://www.ResRobot.se,,
289_353_BLT,289,353,,,3,http://www.ResRobot.se,,
279_4432_TLT_262,279,932,Länstaxi,,3,http://www.ResRobot.se,,
275_848_BLT,275,848,,,3,http://www.ResRobot.se,,
279_2011_BLT_262,279,11,,,3,http://www.ResRobot.se,,
279_4872_BLT_262,279,872,,,3,http://www.ResRobot.se,,
253_356_BLT,253,356,,,3,http://www.ResRobot.se,,
279_6949_BLT_262,279,949,,,3,http://www.ResRobot.se,,
279_2246_BLT_262,279,246,,,3,http://www.ResRobot.se,,
255_332_BLT,255,332,,,3,http://www.ResRobot.se,,
275_829_BLT,275,829,,,3,http://www.ResRobot.se,,
289_542_BLT,289,542,,,3,http://www.ResRobot.se,,
269_151_BLT_271,269,151,,,3,http://www.ResRobot.se,,
269_151_BLT_272,269,151,,,3,http://www.ResRobot.se,,
267_374_TLT,267,374,Länstaxi,,3,http://www.ResRobot.se,,
275_124_BLT,275,124,,,3,http://www.ResRobot.se,,
253_539_BLT,253,539,,,3,http://www.ResRobot.se,,
275_80_FLT,275,80,Sjövägen,,4,http://www.ResRobot.se,,
279_4866_BLT_262,279,866,,,3,http://www.ResRobot.se,,
269_511_TLT_272,269,511,Länstaxi,,3,http://www.ResRobot.se,,
279_2016_BLT_262,279,16,,,3,http://www.ResRobot.se,,
279_6588_BLT_262,279,588,,,3,http://www.ResRobot.se,,
275_784_BLT,275,784,,,3,http://www.ResRobot.se,,
261_1320_BLT,261,20,,,3,http://www.ResRobot.se,,
251_10_BLT,251,10,,,3,http://www.ResRobot.se,,
279_6979_BLT_262,279,979,,,3,http://www.ResRobot.se,,
253_203_BLT,253,3,,,3,http://www.ResRobot.se,,
275_629_BLT,275,629,,,3,http://www.ResRobot.se,,
269_145_TLT_271,269,145,Länstaxi,,3,http://www.ResRobot.se,,
252_415_BLT,252,415,,,3,http://www.ResRobot.se,,
256_106_BLT,256,106,,,3,http://www.ResRobot.se,,
268_29_BLT,268,29,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
269_166_BLT_272,269,166,,,3,http://www.ResRobot.se,,
279_2070_BLT_262,279,70,,,3,http://www.ResRobot.se,,
275_59_BLT,275,59,,,3,http://www.ResRobot.se,,
279_4835_BLT_262,279,835,,,3,http://www.ResRobot.se,,
276_6_BLT,276,6,,,3,http://www.ResRobot.se,,
268_76_BLT,268,76,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
279_6954_BLT_262,279,954,,,3,http://www.ResRobot.se,,
269_99_BLT,269,100,,,3,http://www.ResRobot.se,,
275_571_BLT,275,571,,,3,http://www.ResRobot.se,,
275_589_BLT,275,589,,,3,http://www.ResRobot.se,,
267_121_BLT,267,121,,,3,http://www.ResRobot.se,,
275_178_BLT,275,178,,,3,http://www.ResRobot.se,,
261_1363_BLT,261,63,,,3,http://www.ResRobot.se,,
279_6309_TLT_262,279,309,Länstaxi,,3,http://www.ResRobot.se,,
267_5_BLT,267,5,,,3,http://www.ResRobot.se,,
275_779_BLT,275,779,,,3,http://www.ResRobot.se,,
258_22_BLT,258,22,,,3,http://www.ResRobot.se,,
289_322_BLT,289,322,,,3,http://www.ResRobot.se,,
279_5185_BLT_262,279,185,,,3,http://www.ResRobot.se,,
275_505_BLT,275,505,,,3,http://www.ResRobot.se,,
279_5404_BLT_262,279,1,4 Ersätter Spårvagn,,3,http://www.ResRobot.se,,
258_4250_BLT,258,250,,,3,http://www.ResRobot.se,,
279_6730_BLT_262,279,730,,,3,http://www.ResRobot.se,,
251_856_BLT,251,856,,,3,http://www.ResRobot.se,,
253_68_BLT,253,68,,,3,http://www.ResRobot.se,,
279_4806_BLT_262,279,6,,,3,http://www.ResRobot.se,,
279_5020_BLT_262,279,20,,,3,http://www.ResRobot.se,,
279_5004_SLT_262,279,4,,,0,http://www.ResRobot.se,,
251_215_BLT,251,215,,,3,http://www.ResRobot.se,,
253_571_BLT,253,571,,,3,http://www.ResRobot.se,,
253_651_TLT,253,651,Länstaxi,,3,http://www.ResRobot.se,,
269_456_BLT,269,6,,,3,http://www.ResRobot.se,,
279_3732_TLT_262,279,323,Länstaxi,,3,http://www.ResRobot.se,,
265_307_BLT,265,307,,,3,http://www.ResRobot.se,,
253_545_BLT,253,545,,,3,http://www.ResRobot.se,,
252_667_TLT,252,667,Länstaxi,,3,http://www.ResRobot.se,,
279_6738_BLT_262,279,738,,,3,http://www.ResRobot.se,,
279_3762_TLT_262,279,645,Länstaxi,,3,http://www.ResRobot.se,,
254_330_BLT,254,330,,,3,http://www.ResRobot.se,,
258_3630_BLT,258,630,,,3,http://www.ResRobot.se,,
269_331_BLT,269,331,,,3,http://www.ResRobot.se,,
275_706_BLT,275,706,,,3,http://www.ResRobot.se,,
275_635_BLT,275,635,,,3,http://www.ResRobot.se,,
265_701_BLT,265,701,,,3,http://www.ResRobot.se,,
252_551_BLT,252,551,,,3,http://www.ResRobot.se,,
279_6931_BLT_262,279,931,,,3,http://www.ResRobot.se,,
276_160_BLT,276,160,,,3,http://www.ResRobot.se,,
265_112_TLT,265,112,Länstaxi,,3,http://www.ResRobot.se,,
289_201_BLT,289,1,,,3,http://www.ResRobot.se,,
265_216_BLT,265,216,,,3,http://www.ResRobot.se,,
252_183_BLT,252,3,,,3,http://www.ResRobot.se,,
279_5411_BLT_262,279,5411,11 Ersätter Spårvagn,,3,http://www.ResRobot.se,,
279_6297_FLT_262,279,Hönö,,,4,http://www.ResRobot.se,,
269_423_BLT_272,269,423,,,3,http://www.ResRobot.se,,
269_423_BLT_273,269,423,,,3,http://www.ResRobot.se,,
602_47_BLT,602,47,,,3,http://www.ResRobot.se,,
289_324_BLT,289,324,,,3,http://www.ResRobot.se,,
279_5762_BLT_262,279,762,,,3,http://www.ResRobot.se,,
279_6967_BLT_262,279,967,,,3,http://www.ResRobot.se,,
267_236_BLT,267,236,,,3,http://www.ResRobot.se,,
269_665_TLT_272,269,665,Länstaxi,,3,http://www.ResRobot.se,,
269_474_BLT,269,24,,,3,http://www.ResRobot.se,,
267_253_TLT,267,253,Länstaxi,,3,http://www.ResRobot.se,,
279_6740_BLT_262,279,740,,,3,http://www.ResRobot.se,,
279_5039_BLT_262,279,39,,,3,http://www.ResRobot.se,,
256_325_BLT,256,325,,,3,http://www.ResRobot.se,,
279_5514_BLT_262,279,514,,,3,http://www.ResRobot.se,,
289_105_BLT,289,5,,,3,http://www.ResRobot.se,,
275_185_BLT,275,185V,,,3,http://www.ResRobot.se,,
279_6748_BLT_262,279,748,,,3,http://www.ResRobot.se,,
269_126_BLT_272,269,126,,,3,http://www.ResRobot.se,,
275_76_BLT,275,76,,,3,http://www.ResRobot.se,,
256_127_BLT,256,127,,,3,http://www.ResRobot.se,,
275_721_BLT,275,721,,,3,http://www.ResRobot.se,,
276_322_BLT,276,322,,,3,http://www.ResRobot.se,,
279_3103_BLT_262,279,103,,,3,http://www.ResRobot.se,,
279_2311_BLT_262,279,311,,,3,http://www.ResRobot.se,,
279_3072_BLT_262,279,12,,,3,http://www.ResRobot.se,,
275_424_BLT,275,424H,,,3,http://www.ResRobot.se,,
