service_id,date,exception_type
47,20141209,1
47,20141210,1
47,20141211,1
47,20141212,1
44,20140705,1
44,20140712,1
45,20140623,1
45,20140624,1
45,20140625,1
45,20140626,1
45,20140627,1
45,20140630,1
45,20140701,1
45,20140702,1
45,20140703,1
45,20140704,1
45,20140705,1
45,20140706,1
45,20140707,1
45,20140708,1
45,20140709,1
45,20140710,1
45,20140711,1
51,20140901,1
51,20140902,1
51,20140903,1
51,20140904,1
51,20140905,1
51,20140908,1
51,20140909,1
51,20140910,1
51,20140911,1
51,20140912,1
51,20140915,1
51,20140916,1
51,20140917,1
51,20140918,1
51,20140919,1
51,20140922,1
51,20140923,1
51,20140924,1
51,20140925,1
51,20140926,1
51,20141003,1
51,20141006,1
51,20141007,1
51,20141008,1
51,20141009,1
51,20141010,1
51,20141013,1
51,20141014,1
51,20141015,1
51,20141016,1
51,20141017,1
51,20141020,1
51,20141021,1
51,20141022,1
51,20141023,1
51,20141024,1
51,20141027,1
51,20141028,1
51,20141029,1
51,20141030,1
51,20141031,1
51,20141103,1
51,20141104,1
51,20141105,1
51,20141106,1
51,20141107,1
51,20141110,1
51,20141111,1
51,20141112,1
51,20141113,1
51,20141114,1
51,20141117,1
51,20141118,1
51,20141119,1
51,20141120,1
51,20141121,1
51,20141124,1
51,20141125,1
51,20141126,1
51,20141127,1
51,20141128,1
51,20141201,1
51,20141202,1
51,20141203,1
51,20141204,1
51,20141205,1
51,20141208,1
51,20141209,1
51,20141210,1
51,20141211,1
51,20141212,1
50,20140628,2
50,20140629,2
50,20140705,2
50,20140706,2
50,20140712,2
50,20140713,2
50,20140719,2
50,20140720,2
50,20140726,2
50,20140727,2
50,20140802,2
50,20140803,2
50,20140809,2
50,20140810,2
50,20140816,2
50,20140817,2
50,20140823,2
50,20140824,2
50,20140830,2
50,20140831,2
50,20140906,2
50,20140907,2
50,20140913,2
50,20140914,2
50,20140920,2
50,20140921,2
50,20140927,2
50,20140928,2
50,20140929,2
50,20140930,2
50,20141001,2
50,20141002,2
50,20141004,2
50,20141005,2
50,20141011,2
50,20141012,2
50,20141018,2
50,20141019,2
50,20141025,2
50,20141026,2
50,20141101,2
50,20141102,2
50,20141108,2
50,20141109,2
50,20141115,2
50,20141116,2
50,20141122,2
50,20141123,2
50,20141129,2
50,20141130,2
50,20141206,2
50,20141207,2
50,20141213,2
49,20140906,1
49,20140913,1
49,20140920,1
49,20140927,1
49,20141004,1
49,20141011,1
49,20141018,1
49,20141025,1
49,20141101,1
49,20141108,1
49,20141115,1
49,20141122,1
49,20141129,1
49,20141206,1
49,20141213,1
48,20140628,1
48,20140705,1
48,20140712,1
48,20140719,1
48,20140726,1
48,20140802,1
48,20140809,1
48,20140816,1
48,20140823,1
48,20140830,1
55,20140623,2
55,20140624,2
55,20140625,2
55,20140626,2
55,20140627,2
55,20140628,2
55,20140629,2
55,20140630,2
55,20140701,2
55,20140702,2
55,20140703,2
55,20140704,2
55,20140705,2
55,20140706,2
55,20140707,2
55,20140708,2
55,20140709,2
55,20140710,2
55,20140711,2
55,20140712,2
55,20140713,2
55,20140714,2
55,20140715,2
55,20140716,2
55,20140717,2
55,20140718,2
55,20140719,2
55,20140720,2
55,20140721,2
