from_stop_id,to_stop_id,transfer_type,min_transfer_time
7400607,7400607,2,
7400608,7400608,2,300
7400609,7400609,2,
7400610,7400610,2,
7400611,7400611,2,300
7400612,7400612,2,
7400613,7400613,2,
7400615,7400615,2,600
7400616,7400616,2,180
7400619,7400619,2,300
7400620,7400620,2,480
7400622,7400622,2,1200
7400623,7400623,2,300
7400624,7400624,2,
7400625,7400625,2,
7400627,7400627,3,
7400628,7400628,2,
7400630,7400630,2,600
7400631,7400631,2,
7400632,7400632,2,420
7400633,7400633,2,
7400635,7400635,3,
7400636,7400636,2,300
7400637,7400637,3,
7400638,7400638,2,300
7400639,7400639,3,
7400640,7400640,3,
7400641,7400641,2,
7400642,7400642,2,300
7400643,7400643,3,
7400644,7400644,2,
7400645,7400645,3,
7400646,7400646,2,900
7400647,7400647,2,
7400648,7400648,3,
7400649,7400649,3,
7400650,7400650,3,
7400651,7400651,2,
7400653,7400653,3,
7400654,7400654,2,
7400655,7400655,2,
7400656,7400656,2,
7400657,7400657,2,
7400658,7400658,3,
7400659,7400659,2,
7400660,7400660,2,600
7400661,7400661,2,
7400662,7400662,2,
7400663,7400663,2,180
7400664,7400664,3,
7400665,7400665,2,60
7400666,7400666,2,
7400667,7400667,2,300
7400668,7400668,3,
7400669,7400669,3,
7400670,7400670,2,
7400671,7400671,2,
7400672,7400672,2,
7400673,7400673,2,300
7400674,7400674,2,300
7400675,7400675,3,
7400676,7400676,2,600
7400677,7400677,2,600
7400678,7400678,2,
7400679,7400679,2,600
7400680,7400680,3,
7400681,7400681,2,
7400682,7400682,2,
7400683,7400683,3,
7400684,7400684,2,
7400685,7400685,2,
7400686,7400686,3,
7400687,7400687,2,240
7400688,7400688,3,
7400689,7400689,3,
7400690,7400690,2,
7400692,7400692,2,600
7400693,7400693,2,300
7400694,7400694,2,300
7400695,7400695,2,900
7400697,7400697,2,300
7400698,7400698,2,120
7400699,7400699,2,420
7400701,7400701,2,300
7400702,7400702,2,300
7400703,7400703,2,300
7400704,7400704,2,1800
7400705,7400705,2,300
7400706,7400706,2,300
7400707,7400707,3,
7400708,7400708,2,600
7400709,7400709,2,300
7400710,7400710,2,300
7400711,7400711,2,180
7400712,7400712,2,480
7400713,7400713,2,360
7400714,7400714,2,120
7400715,7400715,3,
7400716,7400716,2,300
7400717,7400717,2,300
7400718,7400718,2,300
7400719,7400719,2,900
7400721,7400721,2,300
7400722,7400722,3,
7400723,7400723,2,
7400725,7400725,3,
7400726,7400726,3,
7400727,7400727,2,240
7400730,7400730,2,
7400732,7400732,2,
7400734,7400734,2,
7400735,7400735,3,
7400736,7400736,2,540
7400737,7400737,2,
7400738,7400738,2,300
7400739,7400739,2,300
7400740,7400740,2,120
7400742,7400742,2,600
7400744,7400744,3,
7400745,7400745,2,
7400746,7400746,3,
7400747,7400747,3,
7400748,7400748,2,240
7400749,7400749,3,
7400750,7400750,3,
7400751,7400751,2,180
7400753,7400753,2,
7400755,7400755,3,
7400756,7400756,2,
7400757,7400757,2,120
7400758,7400758,2,300
7400759,7400759,2,300
7400760,7400760,2,
7400761,7400761,2,
7400762,7400762,2,
7400763,7400763,2,300
7400764,7400764,2,300
7400765,7400765,2,1200
7400767,7400767,3,
7400769,7400769,2,300
7400770,7400770,2,300
7400771,7400771,2,600
7400772,7400772,2,300
7400773,7400773,2,600
7400774,7400774,2,240
7400775,7400775,2,300
7400776,7400776,2,300
7400777,7400777,2,300
7400778,7400778,2,
7400779,7400779,2,480
7400781,7400781,2,300
7400782,7400782,2,180
7400784,7400784,2,
7400785,7400785,3,
7400786,7400786,3,
7400787,7400787,2,180
7400788,7400788,2,240
7400789,7400789,2,480
7400790,7400790,2,180
7400791,7400791,2,300
7400792,7400792,3,
7400793,7400793,3,
7400794,7400794,2,
7400795,7400795,2,
7400796,7400796,2,
7400798,7400798,3,
7400799,7400799,2,
7400800,7400800,3,
7400802,7400802,3,
7400803,7400803,2,
7400805,7400805,2,
7400806,7400806,2,
7400808,7400808,3,
7400811,7400811,2,
7400813,7400813,2,300
7400814,7400814,3,
7400815,7400815,3,
7400816,7400816,2,60
7400818,7400818,3,
7400819,7400819,3,
7400820,7400820,2,
7400821,7400821,2,
7400822,7400822,3,
7400828,7400828,2,
7400829,7400829,2,300
7400830,7400830,3,
7400831,7400831,3,
7400832,7400832,3,
7400833,7400833,2,
7400834,7400834,2,600
7400835,7400835,3,
7400836,7400836,3,
7400837,7400837,2,
7400838,7400838,2,
